Offense,Offense Conference,Defense,Defense Conference,Game Id,Id,Drive Number,Scoring,Start Period,Start Yardline,Start Yards To Goal,Start Time Minutes,Start Time Seconds,End Period,End Yardline,End Yards To Goal,End Time Minutes,End Time Seconds,Elapsed Minutes,Elapsed Seconds,Plays,Yards,Drive Result,Is Home Offense,Start Offense Score,Start Defense Score,End Offense Score,End Defense Score
Colorado,Big 12,Baylor,Big 12,401636874,4016368742,2,FALSE,1,20,80,13,10,1,34,66,10,15,2,55,4,14,PUNT,TRUE,0,0,0,0
Baylor,Big 12,Colorado,Big 12,401636874,4016368743,3,TRUE,1,38,38,10,15,1,15,15,8,13,2,2,5,23,FG,FALSE,0,0,3,0
Colorado,Big 12,Baylor,Big 12,401636874,4016368744,4,TRUE,1,25,75,8,13,1,100,0,1,56,6,17,11,75,TD,TRUE,0,3,7,3
Baylor,Big 12,Colorado,Big 12,401636874,4016368745,5,TRUE,1,75,75,1,56,2,0,0,14,26,2,30,7,75,TD,FALSE,3,7,10,7
Colorado,Big 12,Baylor,Big 12,401636874,4016368746,6,FALSE,2,25,75,14,26,2,24,76,13,21,1,5,3,-1,PUNT,TRUE,7,10,7,10
Baylor,Big 12,Colorado,Big 12,401636874,4016368747,7,FALSE,2,63,63,13,21,2,55,55,11,36,1,45,3,8,PUNT,FALSE,10,7,10,7
Colorado,Big 12,Baylor,Big 12,401636874,4016368748,8,TRUE,2,20,80,11,36,2,75,25,6,55,4,41,10,55,FG,TRUE,7,10,10,10
Colorado,Big 12,Baylor,Big 12,401636874,4016368749,9,FALSE,2,25,75,6,43,2,26,74,5,44,0,59,3,1,PUNT,TRUE,10,17,10,19
Baylor,Big 12,Colorado,Big 12,401636874,40163687410,10,TRUE,2,54,54,5,44,2,0,0,4,19,1,25,4,54,TD,FALSE,19,10,24,10
Colorado,Big 12,Baylor,Big 12,401636874,40163687411,11,FALSE,2,25,75,4,19,2,29,71,3,31,0,48,3,4,PUNT,TRUE,10,24,10,24
Baylor,Big 12,Colorado,Big 12,401636874,40163687412,12,FALSE,2,75,75,3,31,2,74,74,2,38,0,53,3,1,PUNT,FALSE,24,10,24,10
Colorado,Big 12,Baylor,Big 12,401636874,40163687413,13,TRUE,2,22,78,2,38,2,100,0,0,50,1,48,5,78,TD,TRUE,10,24,17,24
Baylor,Big 12,Colorado,Big 12,401636874,40163687414,14,FALSE,2,65,65,0,44,2,59,59,0,15,0,29,3,6,PUNT,FALSE,24,17,24,17
Colorado,Big 12,Baylor,Big 12,401636874,40163687415,15,FALSE,2,25,75,0,15,2,24,76,0,0,0,15,1,-1,END OF HALF,TRUE,17,24,17,24
Colorado,Big 12,Baylor,Big 12,401636874,40163687416,16,FALSE,3,25,75,15,0,3,50,50,11,16,3,44,7,25,PUNT,TRUE,17,24,17,24
Baylor,Big 12,Colorado,Big 12,401636874,40163687417,17,FALSE,3,91,91,11,16,3,42,42,6,44,4,32,11,49,DOWNS,FALSE,24,17,24,17
Colorado,Big 12,Baylor,Big 12,401636874,40163687418,18,FALSE,3,42,58,6,44,3,44,56,5,37,1,7,3,2,PUNT,TRUE,17,24,17,24
Baylor,Big 12,Colorado,Big 12,401636874,40163687419,19,FALSE,3,80,80,5,37,3,67,67,3,28,2,9,5,13,PUNT,FALSE,24,17,24,17
Colorado,Big 12,Baylor,Big 12,401636874,40163687420,20,TRUE,3,20,80,3,28,3,100,0,1,0,2,28,6,80,TD,TRUE,17,23,24,24
Baylor,Big 12,Colorado,Big 12,401636874,40163687421,21,FALSE,3,60,60,1,0,3,65,65,0,0,1,0,3,-5,PUNT,FALSE,23,24,23,24
Colorado,Big 12,Baylor,Big 12,401636874,40163687422,22,FALSE,4,13,87,15,0,4,61,39,9,12,5,48,10,48,DOWNS,TRUE,24,23,24,23
Baylor,Big 12,Colorado,Big 12,401636874,40163687423,23,TRUE,4,61,61,9,12,4,0,0,5,43,3,29,8,61,TD,FALSE,23,24,31,24
Colorado,Big 12,Baylor,Big 12,401636874,40163687424,24,FALSE,4,25,75,5,43,4,4,96,3,58,1,45,3,-21,PUNT,TRUE,24,31,24,33
Baylor,Big 12,Colorado,Big 12,401636874,40163687425,25,FALSE,4,26,26,3,58,4,28,28,2,16,1,42,4,-2,MISSED FG,FALSE,31,24,31,24
Colorado,Big 12,Baylor,Big 12,401636874,40163687426,26,TRUE,4,28,72,2,16,4,100,0,0,0,2,16,8,72,TD,TRUE,24,31,31,31
Colorado,Big 12,Baylor,Big 12,401636874,40163687427,27,TRUE,5,75,25,0,0,5,100,0,0,0,0,0,7,25,TD,TRUE,31,31,38,31
Baylor,Big 12,Colorado,Big 12,401636874,40163687428,28,FALSE,5,25,25,0,0,6,0,0,0,0,15,0,5,25,END OF HALF,FALSE,31,38,31,38
BYU,Big 12,Baylor,Big 12,401636880,4016368801,1,TRUE,1,75,75,15,0,1,0,0,10,52,4,8,7,75,TD,FALSE,0,0,7,0
Baylor,Big 12,BYU,Big 12,401636880,4016368802,2,FALSE,1,22,78,10,44,1,22,78,10,38,0,6,1,0,INT,TRUE,0,7,0,7
BYU,Big 12,Baylor,Big 12,401636880,4016368803,3,TRUE,1,20,20,10,38,1,0,0,8,26,2,12,4,20,TD,FALSE,7,0,14,0
Baylor,Big 12,BYU,Big 12,401636880,4016368804,4,FALSE,1,25,75,8,26,1,69,31,6,20,2,6,7,44,DOWNS,TRUE,0,14,0,14
